time_s,current_A
0.4353485107421875,0.010989
0.4448204040527344,0.010989
0.5489633083343506,0.007326
0.6533863544464111,0.007326
0.7571573257446289,0.014652
0.861504077911377,0.007326
0.9658217430114746,0.007326
1.0703964233398438,0.007326
1.174452543258667,0.010989
1.278815507888794,0.007326
1.3820960521697998,0.007326
1.4865128993988037,0.010989
1.5900912284851074,0.010989
1.6948542594909668,0.010989
1.79856276512146,0.014652
1.902989149093628,0.010989
2.0067458152770996,0.010989
2.111422300338745,0.010989
2.214987277984619,0.007326
2.319658041000366,0.010989
2.4235939979553223,0.007326
2.5280442237854004,0.010989
2.6312901973724365,0.007326
2.735124111175537,0.007326
2.840179920196533,0.010989
2.9438462257385254,0.007326
3.0487170219421387,0.007326
3.15280818939209,0.010989
3.256561756134033,0.010989
3.360934257507324,0.010989
3.464439868927002,0.003663
3.56925892829895,0.007326
3.6732773780822754,0.010989
3.7778124809265137,0.007326
3.8817524909973145,0.007326
3.98542857170105,0.010989
4.090423345565796,0.010989
4.194708824157715,0.007326
4.2983314990997314,0.014652
4.402450323104858,0.007326
4.507272720336914,0.007326
4.610324144363403,0.010989
4.715246200561523,0.007326
4.818896055221558,0.010989
4.922945261001587,0.010989
5.027839183807373,0.010989
5.131929159164429,0.007326
5.235728740692139,0.007326
5.34052848815918,0.010989
5.444043874740601,0.007326
5.548571586608887,0.010989
5.652204990386963,0.007326
5.7566306591033936,0.007326
5.861167669296265,0.010989
5.964811325073242,0.010989
6.068737745285034,0.007326
6.172723770141602,0.010989
6.27731466293335,0.007326
6.381013870239258,0.007326
6.485135316848755,0.010989
6.589502811431885,0.010989
6.694042921066284,0.007326
6.797421455383301,0.007326
6.9018166065216064,0.007326
7.005799770355225,0.007326
7.110698699951172,0.007326
7.2143003940582275,0.010989
7.318610668182373,0.007326
7.4225993156433105,0.007326
7.526116371154785,0.007326
7.631027936935425,0.010989
7.734682321548462,0.010989
7.839412212371826,0.007326
7.943121671676636,0.007326
8.047278881072998,0.010989
8.152225255966187,0.010989
8.255495309829712,0.007326
8.359455823898315,0.010989
8.464228391647339,0.007326
8.568002700805664,0.007326
8.672473430633545,0.010989
8.776370286941528,0.010989
8.880699157714844,0.010989
8.984372854232788,0.014652
9.089163303375244,0.010989
9.193310260772705,0.010989
9.297938823699951,0.007326
9.401271343231201,0.010989
9.50514531135559,0.007326
9.610249757766724,0.010989
9.713516235351562,0.010989
9.81836724281311,0.007326
9.922899723052979,0.010989
10.025614261627197,0.007326
10.130765199661255,0.007326
10.235334634780884,0.010989
10.338515758514404,0.007326
10.44334626197815,0.010989
10.547279357910156,0.007326
10.650854110717773,0.010989
10.755797624588013,0.007326
10.858752250671387,0.007326
10.963205337524414,0.010989
11.068227291107178,0.010989
11.172054052352905,0.010989
11.276323080062866,0.018315
11.380107402801514,0.010989
11.483967542648315,0.010989
11.58913540840149,0.010989
11.692698955535889,0.007326
11.79692530632019,0.007326
11.901020526885986,0.010989
12.005382061004639,0.010989
12.109131813049316,0.010989
12.212942600250244,0.007326
12.317657470703125,0.007326
12.421573162078857,0.010989
12.525537967681885,0.007326
12.62917423248291,0.010989
12.733572959899902,0.007326
12.837711095809937,0.010989
12.941739797592163,0.010989
13.046271085739136,0.014652
13.1502103805542,0.014652
13.25413727760315,0.007326
13.358950138092041,0.010989
13.462408065795898,0.010989
13.566730499267578,0.010989
13.67137598991394,0.007326
13.774541854858398,0.007326
13.879415512084961,0.007326
13.983416080474854,0.010989
14.086992263793945,0.010989
14.191345453262329,0.010989
14.294978141784668,0.010989
14.400137186050415,0.007326
14.503719806671143,0.007326
14.607591390609741,0.007326
14.711474180221558,0.007326
14.816134691238403,0.010989
14.919801950454712,0.007326
15.024739503860474,0.007326
15.129010438919067,0.007326
15.232691526412964,0.010989
15.336352825164795,0.007326
15.440644979476929,0.007326
15.545173645019531,0.007326
15.649037599563599,0.007326
15.752980709075928,0.010989
15.857279062271118,0.007326
15.961811065673828,0.007326
16.065751791000366,0.007326
16.169621229171753,0.010989
16.27434730529785,0.007326
16.378307819366455,0.010989
16.48250389099121,0.010989
16.586475372314453,0.010989
16.690279483795166,0.003663
16.79468536376953,0.007326
16.899008750915527,0.010989
17.003180742263794,0.007326
17.107818603515625,0.007326
17.211357355117798,0.010989
17.31560206413269,0.007326
17.419809579849243,0.010989
17.52318048477173,0.007326
17.628045558929443,0.007326
17.73230266571045,0.010989
17.83662724494934,0.010989
17.940228700637817,0.007326
18.044255018234253,0.007326
18.14863896369934,0.010989
18.25313949584961,0.010989
18.356337785720825,0.010989
18.460448741912842,0.010989
18.56529664993286,0.007326
18.668787002563477,0.007326
18.773258924484253,0.010989
18.877268075942993,0.014652
18.98180055618286,0.010989
19.085790634155273,0.007326
19.19034218788147,0.010989
19.29402184486389,0.007326
19.39846634864807,0.007326
19.501298666000366,0.007326
19.605551958084106,0.010989
19.710220336914062,0.007326
19.815977334976196,0.014652
19.917588472366333,0.007326
20.022876977920532,0.007326
20.126693725585938,0.010989
20.23090124130249,0.010989
20.335365772247314,0.010989
20.438478469848633,0.007326
20.54294514656067,0.010989
20.647494792938232,0.007326
20.751124143600464,0.007326
20.855281352996826,0.010989
20.959543228149414,0.007326
21.064338207244873,0.007326
21.16824722290039,0.010989
21.272664070129395,0.010989
21.376093864440918,0.007326
21.48058271408081,0.007326
21.584232807159424,0.010989
21.688390970230103,0.007326
21.79314875602722,0.007326
21.897422552108765,0.007326
22.00130295753479,0.007326
22.10497736930847,0.010989
22.209201335906982,0.010989
22.313557863235474,0.007326
22.418168783187866,0.007326
22.521782398223877,0.007326
22.626245498657227,0.010989
22.73077917098999,0.018315
22.834352731704712,0.007326
22.938239097595215,0.007326
23.04303526878357,0.010989
23.146867752075195,0.007326
23.250932455062866,0.010989
23.354968309402466,0.007326
23.45943832397461,0.014652
23.56346106529236,0.007326
23.667627334594727,0.010989
23.77210521697998,0.007326
23.876227617263794,0.010989
23.97958540916443,0.010989
24.08424997329712,0.010989
24.187824249267578,0.007326
